"school","conference","color","alt_color","logo"
"110","UAB","Conference USA","#003b28","#ffc845","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png"
"111","UCF","American Athletic","#000000","#231f20","https://blinderhq.com/andy-seeley-the-unbeaten-ucf-knights-shaquem-griffin-and-cosida/wp-content/uploads/2018/07/citronaut.png"
"112","UCLA","Pac-12","#005C8E","#ffc72c","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"113","UMass","FBS Independents","#880007",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/113.png"
"114","UNLV","Mountain West","#000000","#c2c4c6","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png"
"115","USC","Pac-12","#AE2531","#ffc72c","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
"116","Utah","Pac-12","#890012","#7e8083","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png"
"117","Utah State","Mountain West","#003263","#949ca1","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png"
"118","UTEP","Conference USA","#002843","#ff6f12","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png"
"119","UT San Antonio","Conference USA","#002A5C","#f47321","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png"
"120","Vanderbilt","SEC","#000000","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png"
"121","Virginia","ACC","#00204e","#002d62","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png"
"122","Virginia Tech","ACC","#74232D","#c2c1ba","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png"
"123","Wake Forest","ACC","#9E7E38","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png"
"124","Washington","Pac-12","#2B2F64","#e8e3d3","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png"
"125","Washington State","Pac-12","#94022a","#6a747c","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png"
"126","Western Kentucky","Conference USA","#F32026","#b3b5b8","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png"
"127","Western Michigan","Mid-American","#B59966","#bfa979","http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png"
"128","West Virginia","Big 12","#FFC600","#eaaa00","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png"
"129","Wisconsin","Big Ten","#A00001","#f7f7f7","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png"
"130","Wyoming","Mountain West","#533B22","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png"
